ID,Created,Ticket ID,Duplicate,Alarm Date,Alarm Time,Alarm Date formatted,alarm_date_time,Alarm Date Time,Day of Alarm,Month of Alarm,Month of Alarm Text,Year of Alarm,Year Month of Alarm,Time of Alarm,ampm,Alarm Time formatted,Site Address ID,Site Name,State (from State),Responsible Party Short,Reason for Activation,Type of Activation,Location of Alarm,Retailer Responsible,Contractor Responsible,Shop Number,Area / Zone Description,AFA Code,Short Description (from AFA Codes),Chargeable (from AFA Codes)
2134,45749.14716,WF2134,,3/04/2025,2:31:00 AM,3/04/2025,45750.10486,45750.10486,3,4,Apr,2025,2025-04,2:31:00 AM,am,2:31:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Contractor,"Accidental Westfield contractor activation (e.g. Fire, cleaner, plumber etc)",Smoke/Thermal,Car Park,,Millennium,,,765 - Alarm activation due to workers/occupier activities,Worker/occupier activity,Yes
2117,45747.39546,WF2117,,1/04/2025,8:28:00 AM,1/04/2025,45748.35278,45748.35278,1,4,Apr,2025,2025-04,8:28:00 AM,am,8:28:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,General Public,General public nuisance (e.g. Break glass),Smoke/Thermal,Common mall,,,,Level 3 Zone 2 Back of House,711 - Malicious/Mischievous false alarm – eg activation of Break Glass Alarm or Manual Control Point,Malicious alarm,Yes
2059,45741.08317,WF2059,,26/03/2025,12:59:00 AM,26/03/2025,45742.04097,45742.04097,26,3,Mar,2025,2025-03,12:59:00 PM,am,12:59:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Contractor,Please Select,Smoke/Thermal,Car Park,,TBA,,,765 - Alarm activation due to workers/occupier activities,Worker/occupier activity,Yes
2007,45729.29605,WF2007,,14/03/2025,6:05:00 AM,14/03/2025,45730.25347,45730.25347,14,3,Mar,2025,2025-03,6:05:00 AM,am,6:05:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Major Retailer/tenant, unknown cause of activation",Smoke/Thermal,Loading dock,Kmart,,,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1996,45727.24149,WF1996,,11/03/2025,4:47:00 PM,11/03/2025,2025-03-11 16:47 PM,11/03/2025 16:47 PM,11,3,Mar,2025,2025-03,4:47:00 AM,pm,4:47:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Activation as a result of tenant activity (e.g. Burnt toast, steam, cooking)",Sprinkler head/pipe,Back of house,Farmers Fresh,,,AZF198,762 - Unintentional alarm – eg accidental activation of Break Glass Alarm or Manual Control Point,Accidental alarm,
1995,45727.08612,WF1995,,11/03/2025,1:03:00 PM,11/03/2025,2025-03-11 13:03 PM,11/03/2025 13:03 PM,11,3,Mar,2025,2025-03,1:03:00 AM,pm,1:03:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Speciality Retail,1414,,1414,,"756 - Cooking fumes – eg toast, foodstuffs, etc",Cooking fumes,Yes
1986,45725.15868,WF1986,,10/03/2025,2:47:00 AM,10/03/2025,45726.11597,45726.11597,10,3,Mar,2025,2025-03,2:47:00 AM,am,2:47:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Major Retailer/tenant, unknown cause of activation",Smoke/Thermal,Speciality Retail,Coles,,1000c,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1982,45724.09758,WF1982,,9/03/2025,1:19:43 AM,9/03/2025,45725.05486,45725.05486,9,3,Mar,2025,2025-03,1:19:00 AM,am,1:19:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant,Babylon,,7002,,769 - Alarm activation due to occupier activities,Worker/occupier activity,Yes
1949,45714.40916,WF1949,,26/02/2025,8:48:00 PM,26/02/2025,2025-02-26 20:48 PM,26/02/2025 20:48 PM,26,2,Feb,2025,2025-02,8:48:00 AM,pm,8:48:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Internal Event,Smoke or heat detector suspected malfunction,Smoke/Thermal,Common mall,,,,RO2 LIFT LOBBY NEAR DISABLED TOILET,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1937,45709.33035,WF1937,,21/02/2025,6:55:00 PM,21/02/2025,2025-02-21 18:55 PM,21/02/2025 18:55 PM,21,2,Feb,2025,2025-02,6:55:00 AM,pm,6:55:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,Smoke or heat detector suspected malfunction,Smoke/Thermal,Major Tenant,Aqua culture Swim Academy Brookvale ,,127B ,,"768 - Alarm activation due to steam – eg shower, bath, sauna, kettle, steam room, etc",Steam,Yes
1900,45702.17457,WF1900,,15/02/2025,3:10:00 AM,15/02/2025,45703.13194,45703.13194,15,2,Feb,2025,2025-02,3:10:00 AM,am,3:10:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,Please Select,Sprinkler head/pipe,Common mall,,,,Swim Academy,762 - Unintentional alarm – eg accidental activation of Break Glass Alarm or Manual Control Point,Accidental alarm,
1881,45694.15255,WF1881,,6/02/2025,2:39:00 PM,6/02/2025,2025-02-06 14:39 PM,06/02/2025 14:39 PM,6,2,Feb,2025,2025-02,2:39:00 AM,pm,2:39:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Activation as a result of tenant activity (e.g. Burnt toast, steam, cooking)",Smoke/Thermal,Major Tenant,Sky Phoenix,,6006,,765 - Alarm activation due to workers/occupier activities,Worker/occupier activity,Yes
1873,45692.50494,WF1873,,4/02/2025,11:06:00 AM,4/02/2025,45692.4625,45692.4625,4,2,Feb,2025,2025-02,11:06:00 AM,am,11:06:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Contractor,Accidental tenant/de-fit contractor activation (e.g. Construction dust from fit-out),Smoke/Thermal,Speciality Retail,NAB,.,70860,,765 - Alarm activation due to workers/occupier activities,Worker/occupier activity,Yes
1872,45691.46983,WF1872,,4/02/2025,10:16:00 AM,4/02/2025,45692.42778,45692.42778,4,2,Feb,2025,2025-02,10:16:00 AM,am,10:16:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Speciality Retail,My Health ,,1-2505A,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1858,45687.17719,WF1858,,31/01/2025,3:14:00 AM,31/01/2025,45688.13472,45688.13472,31,1,Jan,2025,2025-01,3:14:00 AM,am,3:14:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Fire Panel fault,Common mall,,,,AFZ 105,"738 - Alarm system suspected malfunction – eg fault in wiring, alarm panel, poor maintenance",Alarm system suspected malfunction,Yes
1857,45687.30589,WF1857,,30/01/2025,6:19:00 PM,30/01/2025,2025-01-30 18:19 PM,30/01/2025 18:19 PM,30,1,Jan,2025,2025-01,6:19:00 AM,pm,6:19:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Fire Panel fault,Common mall,,,,AFZ 105,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1798,45675.46809,WF1798,,18/01/2025,10:13:00 PM,18/01/2025,2025-01-18 22:13 PM,18/01/2025 22:13 PM,18,1,Jan,2025,2025-01,10:13:00 AM,pm,10:13:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,,,,,,,,,,,
1794,45674.09284,WF1794,,17/01/2025,1:13:00 PM,17/01/2025,2025-01-17 13:13 PM,17/01/2025 13:13 PM,17,1,Jan,2025,2025-01,1:13:00 AM,pm,1:13:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Common mall,,,,outside 5012A,"756 - Cooking fumes – eg toast, foodstuffs, etc",Cooking fumes,Yes
1772,45668.22933,WF1772,,12/01/2025,04:29AM,12/01/2025,45669.18681,45669.18681,12,1,Jan,2025,2025-01,4:29:00 AM,am,4:29:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,Smoke or heat detector suspected malfunction,Smoke/Thermal,Common mall,,,,AZF104 outside coles,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1753,45662.45422,WF1753,,6/01/2025,9:53:00 AM,6/01/2025,45663.41181,45663.41181,6,1,Jan,2025,2025-01,9:53:00 AM,am,9:53:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Activation as a result of tenant activity (e.g. Burnt toast, steam, cooking)",Smoke/Thermal,Speciality Retail,Christian Louboutin,,4037,,"756 - Cooking fumes – eg toast, foodstuffs, etc",Cooking fumes,Yes
1749,45660.24858,WF1749,,3/01/2025,4:57:00 PM,3/01/2025,2025-01-03 16:57 PM,03/01/2025 16:57 PM,3,1,Jan,2025,2025-01,4:57:00 AM,pm,4:57:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Speciality Retail,Snow Bear,,TBC,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1744,45656.22463,WF1744,,30/12/2024,4:22:00 PM,30/12/2024,2024-12-30 16:22 PM,30/12/2024 16:22 PM,30,12,Dec,2024,2024-12,4:22:00 AM,pm,4:22:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant,Planet Mino ,,1272 / 73,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1731,45653.12318,WF1731,,27/12/2024,1:56:00 PM,27/12/2024,2024-12-27 13:56 PM,27/12/2024 13:56 PM,27,12,Dec,2024,2024-12,1:56:00 AM,pm,1:56:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,Smoke or heat detector suspected malfunction,Smoke/Thermal,Common mall,,,,Orange P4 Foyer ,"733 - Heat detector suspected malfunction – eg continuous or intermittent fault in detector, or FIP (defective apparatus)",Heat detector suspected malfunction,Yes
1721,45648.28963,WF1721,,23/12/2024,5:56:00 AM,23/12/2024,45649.24722,45649.24722,23,12,Dec,2024,2024-12,5:56:00 AM,am,5:56:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,Please Select,Smoke/Thermal,Loading dock,,,,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1718,45647.4128,WF1718,,22/12/2024,8:53:00 AM,22/12/2024,45648.37014,45648.37014,22,12,Dec,2024,2024-12,8:53:00 AM,am,8:53:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Speciality Retail,Zara R03,,3024,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1682,45642.43587,WF1682,,16/12/2024,9:27:00 PM,16/12/2024,2024-12-16 21:27 PM,16/12/2024 21:27 PM,16,12,Dec,2024,2024-12,9:27:00 AM,pm,9:27:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Contractor,Accidental tenant/de-fit contractor activation (e.g. Construction dust from fit-out),Smoke/Thermal,Common mall,,Mr. Gab Nicoli,,level 3 zone 2 near BOH Entry door,765 - Alarm activation due to workers/occupier activities,Worker/occupier activity,Yes
1677,45641.42133,WF1677,,15/12/2024,9:06:00 PM,15/12/2024,2024-12-15 21:06 PM,15/12/2024 21:06 PM,15,12,Dec,2024,2024-12,9:06:00 AM,pm,9:06:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Activation as a result of tenant activity (e.g. Burnt toast, steam, cooking)",Smoke/Thermal,Speciality Retail,Fratelli Fresh,,5018,,"756 - Cooking fumes – eg toast, foodstuffs, etc",Cooking fumes,Yes
1670,45639.47256,WF1670,,14/12/2024,10:19:00 AM,14/12/2024,45640.42986,45640.42986,14,12,Dec,2024,2024-12,10:19:00 AM,am,10:19:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant,Zara ,,6006,,"767 - Alarm activation due to aerosol use – eg hair spray, insecticides, etc","Aerosol, hair spray",Yes
1655,45632.48084,WF1655,,7/12/2024,10:31:00 AM,7/12/2024,45633.43819,45633.43819,7,12,Dec,2024,2024-12,10:31:00 AM,am,10:31:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,Smoke or heat detector suspected malfunction,Smoke/Thermal,Back of house,,,,Level 2 Zone A -BOH Archive Room ,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
1649,45630.39457,WF1649,,4/12/2024,8:27:00 PM,4/12/2024,2024-12-04 20:27 PM,04/12/2024 20:27 PM,4,12,Dec,2024,2024-12,8:27:00 AM,pm,8:27:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,Smoke or heat detector suspected malfunction,Other,Common mall,,,,Zone 103,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1636,45627.51023,WF1636,,1/12/2024,11:14:00 AM,1/12/2024,45627.46806,45627.46806,1,12,Dec,2024,2024-12,11:14:00 AM,am,11:14:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Major Retailer/tenant, unknown cause of activation",Smoke/Thermal,Speciality Retail,Gama,,6009,,"756 - Cooking fumes – eg toast, foodstuffs, etc",Cooking fumes,Yes
1619,45622.4837,WF1619,,27/11/2024,10:35:00 AM,27/11/2024,45623.44097,45623.44097,27,11,Nov,2024,2024-11,10:35:00 AM,am,10:35:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Major Retailer/tenant, unknown cause of activation",Smoke/Thermal,Speciality Retail,Planet Mino,,1272,,"240 - Non-billable, 24-hour leniency rule for same ASE",Non-billable leniency rule,
1618,45622.24319,WF1618,,26/11/2024,04:49PM,26/11/2024,2024-11-26 16:49 PM,26/11/2024 16:49 PM,26,11,Nov,2024,2024-11,4:49:00 AM,pm,4:49:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Contractor,"Accidental Westfield contractor activation (e.g. Fire, cleaner, plumber etc)",Pressure Switch,Valve room,,Premier Fire,,AZF 208 Valve Rm 5,"773 - Fire Indicator Panel not active (includes system reset before arrival), Alarm Signalling Equipment activated","FIP no active, ASE active",Yes
1601,45617.37457,WF1601,,22/11/2024,7:58:00 AM,22/11/2024,45618.33194,45618.33194,22,11,Nov,2024,2024-11,7:58:00 AM,am,7:58:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Major Retailer/tenant, unknown cause of activation",Smoke/Thermal,Major Tenant,Hoyts,,TBC,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1600,45617.37454,WF1600,,22/11/2024,7:58:00 AM,22/11/2024,45618.33194,45618.33194,22,11,Nov,2024,2024-11,7:58:00 AM,am,7:58:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,,,,,,,,,,,
1583,45612.331,WF1583,,16/11/2024,6:55:00 PM,16/11/2024,2024-11-16 18:55 PM,16/11/2024 18:55 PM,16,11,Nov,2024,2024-11,6:55:00 AM,pm,6:55:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Activation as a result of tenant activity (e.g. Burnt toast, steam, cooking)",Smoke/Thermal,Back of house,BO1 STR,,,BO1 KITCHEN CORIDOOR,765 - Alarm activation due to workers/occupier activities,Worker/occupier activity,Yes
1558,45605.09772,WF1558,,10/11/2024,1:20:00 AM,10/11/2024,45606.05556,45606.05556,10,11,Nov,2024,2024-11,1:20:00 AM,am,1:20:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Back of house,,,,"Ground Level, Zone C, Back Door of First Choice Meats",732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
1557,45605.40613,WF1557,,9/11/2024,8:44:00 PM,9/11/2024,2024-11-09 20:44 PM,09/11/2024 20:44 PM,9,11,Nov,2024,2024-11,8:44:00 AM,pm,8:44:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,Please Select,Smoke/Thermal,Back of house,,,,"Zone C, ground Level, the back of house of first choice meats. ","738 - Alarm system suspected malfunction – eg fault in wiring, alarm panel, poor maintenance, etc (fault in system)",Alarm system suspected malfunction,Yes
1542,45602.44528,WF1542,,6/11/2024,9:40:00 PM,6/11/2024,2024-11-06 21:40 PM,06/11/2024 21:40 PM,6,11,Nov,2024,2024-11,9:40:00 AM,pm,9:40:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,,,,,,,,,,,
1530,45597.13704,WF1530,,1/11/2024,2:16:00 PM,1/11/2024,2024-11-01 14:16 PM,01/11/2024 14:16 PM,1,11,Nov,2024,2024-11,2:16:00 AM,pm,2:16:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Activation as a result of tenant activity (e.g. Burnt toast, steam, cooking)",Smoke/Thermal,Major Tenant,Woolworths ,,1-1000F,,"733 - Heat detector suspected malfunction – eg continuous or intermittent fault in detector, or FIP (defective apparatus)",Heat detector suspected malfunction,Yes
1527,45596.06138,WF1527,,31/10/2024,12:27PM,31/10/2024,45596.51875,45596.51875,31,10,Oct,2024,2024-10,12:27:00 PM,pm,12:27:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant,Woolworths,,1000-F,,"733 - Heat detector suspected malfunction – eg continuous or intermittent fault in detector, or FIP (defective apparatus)",Heat detector suspected malfunction,Yes
1510,45592.43428,WF1510,,28/10/2024,09:24AM,28/10/2024,45593.39167,45593.39167,28,10,Oct,2024,2024-10,9:24:00 AM,am,9:24:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Activation as a result of tenant activity (e.g. Burnt toast, steam, cooking)",Sprinkler head/pipe,Back of house,Farmers Fresh ,,,M Dock Farmers Fresh BOH ,762 - Unintentional alarm – eg accidental activation of Break Glass Alarm or Manual Control Point,Accidental alarm,
1469,45581.52084,WF1469,,16/10/2024,11:29:00 AM,16/10/2024,45581.47847,45581.47847,16,10,Oct,2024,2024-10,11:29:00 AM,am,11:29:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Major Retailer/tenant, unknown cause of activation",Smoke/Thermal,Speciality Retail,Chanel Store room,,S4-019,,100 - An actual fire reported by the activation of an AFA detection or fire sprinkler system,An actual fire,
1458,45579.15956,WF1458,,14/10/2024,02:49PM,14/10/2024,2024-10-14 14:49 PM,14/10/2024 14:49 PM,14,10,Oct,2024,2024-10,2:49:00 AM,pm,2:49:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,External Event,"Extreme weather conditions (e.g. rain, storm, dust, lighting), rainwater leaking onto detector",Other,Back of house,,,,Plant Room #9,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
1457,45579.15955,WF1457,,14/10/2024,2:49:00 PM,14/10/2024,2024-10-14 14:49 PM,14/10/2024 14:49 PM,14,10,Oct,2024,2024-10,2:49:00 AM,pm,2:49:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,External Event,"Extreme weather conditions (e.g. rain, storm, dust, lighting), rainwater leaking onto detector",Other,Back of house,,,,Plant room #9,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
1431,45570.25744,WF1431,,5/10/2024,04:10PM,5/10/2024,2024-10-05 16:10 PM,05/10/2024 16:10 PM,5,10,Oct,2024,2024-10,4:10:00 AM,pm,4:10:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Major Retailer/tenant, unknown cause of activation",Smoke/Thermal,Major Tenant,Woolworths,,1000F,,"733 - Heat detector suspected malfunction – eg continuous or intermittent fault in detector, or FIP (defective apparatus)",Heat detector suspected malfunction,Yes
1428,45568.28285,WF1428,,4/10/2024,4:46:00 AM,4/10/2024,45569.19861,45569.19861,4,10,Oct,2024,2024-10,4:46:00 AM,am,4:46:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,,,,,,,,,,,
1414,45561.4009,WF1414,,Sep 26 2024,7:36PM,26/09/2024,2024-09-26 19:36 PM,26/09/2024 19:36 PM,26,9,Sep,2024,2024-09,7:36:00 AM,pm,7:36:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,Smoke or heat detector suspected malfunction,Smoke/Thermal,Speciality Retail,Mall Music,,1430K,,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
1407,45560.45051,WF1407,,Sep 25 2024,7:03PM,25/09/2024,2024-09-25 19:03 PM,25/09/2024 19:03 PM,25,9,Sep,2024,2024-09,7:03:00 AM,pm,7:03:00 PM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Activation as a result of tenant activity (e.g. Burnt toast, steam, cooking)",Smoke/Thermal,Major Tenant,Gama,,6009,,"756 - Cooking fumes – eg toast, foodstuffs, etc",Cooking fumes,Yes
1378,45553.53774,WF1378,,Sep 18 2024,10:53AM,18/09/2024,45553.45347,45553.45347,18,9,Sep,2024,2024-09,10:53:00 AM,am,10:53:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Retailer,"Activation as a result of tenant activity (e.g. Burnt toast, steam, cooking)",Smoke/Thermal,Speciality Retail,Tory Burch ,,3021,,"758 - Simulated conditions – eg incense, candles, sparklers, smoke machine, smokers materials, etc",Simulated conditions e.g. Smoke machine,Yes
1364,45547.46409,WF1364,,12/09/2024,09:07PM,12/09/2024,2024-09-12 21:07 PM,12/09/2024 21:07 PM,12,9,Sep,2024,2024-09,9:07:00 AM,pm,9:07:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Speciality Retail,Planet Mino,N/A,Shop 1272,Planet Mino,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
